x,y,z
-8.849,-2.457,91.301
-8.859,-2.435,91.407
-8.876,-2.177,91.67
-8.912,-1.947,92.082
-9.102,-1.878,91.844
-9.402,-1.972,91.736
-9.629,-1.995,91.349
-9.999,-1.984,90.92
-10.406,-1.892,90.969
-10.698,-1.58,91.28
-10.776,-1.029,91.533
-10.668,-0.104,91.907
-10.485,0.834,92.42
-10.288,1.627,93.179
-10.023,2.65,93.832
-9.995,2.698,94.412
-9.412,4.589,94.478
-9.121,5.107,94.648
-8.588,5.633,94.603
-8.494,5.673,94.603
-7.805,6.548,94.504
-7.574,6.868,94.677
-7.209,7.056,94.727
-6.7,6.968,94.898
-6.148,6.678,94.831
-5.92,6.247,94.652
-5.809,5.654,93.795
-5.864,5.267,93.38
-6.065,5.097,93.487
-6.393,4.955,93.856
-6.463,4.938,93.856
-6.463,4.938,93.856
-6.463,4.938,93.856
-6.463,2.516,94.624
-6.52,2.019,94.353
-6.455,1.422,93.132
-6.211,0.826,92.438
-6.017,0.234,92.794
-5.884,-0.254,92.862
-5.867,-0.293,93.592
-5.777,-1.435,93.463
-5.69,-2.017,93.373
-5.666,-2.364,93.423
-5.659,-2.735,93.501
-5.666,-3.149,93.495
-5.619,-3.342,93.035
-5.549,-3.238,92.792
-5.546,-3.073,92.746
-5.473,-2.963,92.549
-5.557,-3.056,92.218
-5.628,-3.44,92.081
-5.56,-4.001,92.031
-5.4,-4.451,91.741
-5.334,-4.776,90.916
-5.409,-4.958,90.067
-5.655,-4.712,89.674
-6.02,-4.263,89.622
-6.076,-3.826,89.896
-6.445,-3.405,89.58
-6.682,-2.908,89.547
-6.905,-2.321,89.518
-7.22,-1.543,89.323
-7.509,-0.741,89.332
-7.699,0.038,89.083
-7.835,0.77,88.827
-7.968,1.451,88.765
-7.97,2.055,88.78
-8.0,2.707,88.854
-8.053,3.228,88.745
-8.091,3.625,88.416
-8.125,4.03,87.995
-8.168,4.423,87.823
-8.21,4.784,87.516
-8.235,5.023,87.453
-8.283,5.188,87.389
-8.562,5.305,87.467
-8.781,5.262,87.591
-8.757,4.947,87.864
-8.591,4.566,88.001
-8.289,4.274,88.037
-8.023,4.129,87.946
-7.839,4.038,87.779
-7.81,4.104,87.731
-7.816,4.42,87.562
-7.813,4.861,87.54
-7.805,5.1,87.627
-7.733,5.1,87.627
-7.733,5.1,87.627
-7.733,5.1,87.627
-7.223,6.025,88.64
-7.171,6.026,88.64
-7.171,6.026,88.64
-7.171,6.026,88.64
-6.551,4.335,88.607
-6.565,3.598,88.508
-6.672,3.215,88.489
-7.272,2.946,88.564
-8.038,2.911,88.573
-8.491,2.92,88.309
-9.094,2.98,88.541
-9.851,3.172,88.409
-10.427,3.344,88.532
-11.13,3.686,88.682
-11.556,4.122,88.689
-11.687,4.538,88.6
-11.711,4.959,88.764
-11.715,4.985,89.05
-11.569,5.699,89.297
-11.237,5.924,89.967
-10.761,6.027,90.397
-10.358,5.891,90.04
-9.968,5.599,90.009
-9.619,5.216,89.844
-9.243,4.765,89.804
-8.767,4.33,90.038
-8.301,4.011,90.259
-7.871,3.812,90.333
-7.355,3.551,90.199
-6.88,3.281,90.406
-6.794,3.255,90.406
-5.87,2.808,90.171
-5.383,2.46,90.767
-5.005,2.004,90.972
-4.804,1.591,90.949
-4.674,1.233,90.925
-4.823,1.19,90.823
-5.041,1.368,90.569
-5.115,1.678,90.305
-5.111,2.151,90.022
-5.008,2.657,89.801
-5.11,3.106,89.718
-5.252,3.501,89.586
-5.511,3.915,89.402
-5.918,4.369,89.536
-6.251,4.82,89.4
-6.601,5.237,89.097
-6.89,5.624,89.226
-7.323,5.943,89.562
-7.83,6.254,89.901
-8.161,6.423,89.865
-8.428,6.476,89.916
-8.873,6.603,90.119
-9.276,6.613,90.189
-9.604,6.483,90.501
-9.784,6.241,90.495
-10.043,5.751,90.499
-9.9,5.394,90.002
-9.58,5.164,90.115
-9.25,4.951,89.877
-9.108,4.498,89.957
-9.06,4.115,89.905
-8.849,3.899,89.995
-8.862,3.908,90.32
-9.455,3.996,90.316
-9.658,4.028,90.578
-9.868,4.064,90.724
-10.107,4.081,90.705
-10.343,4.089,90.316
-10.55,4.051,90.161
-10.502,4.015,89.961
-10.214,4.116,89.849
-9.752,4.42,89.774
-9.372,4.811,89.853
-9.304,5.104,89.797
-9.567,5.564,90.027
-9.79,5.766,90.117
-9.93,5.795,90.105
-10.146,5.836,89.917
-10.268,5.738,89.683
-10.368,5.719,89.452
-10.297,5.883,89.61
-10.103,6.313,90.161
-10.072,6.591,90.472
-10.206,6.813,90.901
-10.452,6.906,91.19
-10.807,6.931,91.527
-11.37,6.96,91.355
-11.983,6.945,90.819
-12.529,6.913,90.243
-12.966,6.783,89.979
-13.413,6.579,89.898
-13.68,6.384,89.51
-14.159,6.093,89.314
-14.441,5.975,89.519
-14.509,5.886,89.765
-14.71,5.904,90.324
-14.878,5.873,90.76
-15.252,5.872,90.892
-15.692,5.932,91.112
-16.042,6.061,90.776
-16.256,6.182,90.449
-16.457,6.346,90.154
-16.566,6.571,90.106
-16.161,6.938,89.95
-15.681,6.884,89.873
-15.343,6.641,90.044
-15.043,6.262,89.949
-14.728,5.921,90.471
-14.389,5.545,90.701
-13.984,5.28,90.763
-13.61,5.091,90.567
-13.326,5.043,90.583
-13.383,5.219,90.49
-13.702,5.284,90.047
-13.865,5.223,89.923
-14.008,5.086,89.597
-14.062,4.993,89.589
-13.769,5.064,89.461
-13.512,4.926,89.186
-13.379,4.647,89.104
-13.605,4.308,89.093
-13.899,4.04,88.942
-14.095,3.877,88.886
-14.16,3.787,89.242
-14.001,3.678,89.326
-13.51,3.699,89.299
-13.472,3.669,89.276
-13.107,3.669,89.276
-12.459,3.654,89.596
-12.193,3.68,89.791
-11.987,3.773,89.974
-11.922,3.888,89.8
-12.026,4.065,89.367
-12.26,4.162,89.045
-12.469,4.251,88.976
-12.738,4.304,89.214
-13.009,4.381,89.202
-13.274,4.525,88.965
-13.467,4.546,88.79
