x,y,z
-5.149,-11.938,89.787
-4.819,-10.372,89.631
-4.389,-9.371,89.417
-3.641,-8.687,89.334
-2.822,-8.091,89.128
-2.08,-7.663,89.131
-1.072,-7.029,89.05
-0.145,-6.546,88.812
0.78,-6.066,88.444
1.651,-5.478,88.361
2.533,-4.924,88.426
3.453,-4.348,88.565
4.299,-3.985,88.928
4.399,-3.965,89.249
5.836,-3.238,89.48
6.681,-2.864,89.623
7.415,-2.569,89.55
7.953,-2.47,89.408
8.305,-2.453,89.384
8.511,-2.427,89.449
8.48,-2.509,89.597
8.338,-2.71,89.754
8.006,-3.013,89.786
7.61,-3.171,89.92
7.183,-3.312,90.142
6.715,-3.629,90.404
6.176,-4.206,90.419
5.81,-4.832,90.272
5.481,-5.874,90.143
5.201,-6.757,89.964
4.85,-7.541,89.609
4.783,-8.805,89.564
3.954,-10.412,89.504
3.655,-12.116,89.421
3.352,-12.843,89.569
2.723,-13.604,89.576
1.927,-14.449,89.734
1.367,-14.983,89.777
0.897,-15.15,89.976
0.54,-15.188,90.09
0.495,-14.882,90.361
0.296,-14.541,90.402
0.099,-14.128,90.197
-0.059,-13.625,90.0
0.062,-12.926,89.867
0.042,-11.743,89.721
0.058,-10.985,89.569
0.358,-10.272,89.651
0.666,-9.319,89.681
0.705,-8.4,89.478
1.211,-7.15,89.291
1.445,-6.479,89.037
1.9,-6.257,88.85
2.616,-6.053,88.776
2.768,-5.905,88.693
3.921,-5.909,88.894
4.397,-6.362,89.293
4.764,-6.878,89.461
4.788,-7.361,89.517
4.795,-7.909,89.528
4.753,-8.669,89.554
4.739,-9.531,89.56
4.856,-10.23,89.458
4.804,-10.816,89.206
4.602,-11.0,89.111
4.259,-11.153,89.101
3.945,-10.963,89.118
3.341,-10.654,88.91
2.652,-10.2,88.796
1.997,-9.843,88.705
1.65,-9.549,88.99
1.13,-9.673,89.069
0.395,-9.804,89.264
-0.286,-9.996,89.285
-0.529,-10.429,89.073
-0.39,-11.194,88.945
-0.077,-12.043,88.854
0.633,-13.073,88.868
1.248,-13.736,88.88
1.685,-14.154,88.771
1.758,-14.286,88.75
2.534,-14.359,88.849
2.924,-14.239,88.919
3.424,-14.049,89.202
3.956,-13.819,89.461
4.334,-13.677,89.847
4.633,-13.444,90.151
4.946,-13.21,90.43
5.114,-12.89,90.761
4.934,-12.361,91.023
4.654,-12.018,91.324
4.277,-11.731,91.422
4.015,-11.327,91.319
3.825,-10.878,91.369
3.705,-10.415,91.247
3.324,-10.103,90.977
2.882,-9.818,90.814
2.608,-9.535,90.724
2.281,-9.237,90.388
2.107,-8.918,90.191
1.94,-8.612,89.994
1.568,-8.432,89.963
1.272,-8.434,90.119
0.871,-8.796,90.124
0.396,-9.313,90.043
0.132,-9.826,90.16
-0.08,-10.625,90.158
-0.334,-11.535,90.048
-0.77,-12.269,89.961
-1.422,-12.618,89.904
-1.85,-12.826,90.204
-2.14,-12.856,90.529
-2.148,-12.768,90.512
-1.924,-12.446,90.59
-1.529,-12.145,90.545
