x,y,z
-7.178,0.276,89.057
-7.454,0.113,88.744
-7.522,-0.158,88.7
-7.381,-0.468,88.717
-7.35,-0.748,88.82
-6.744,-0.828,89.15
-6.451,-0.819,89.172
-6.396,-0.64,89.398
-6.141,-0.444,89.559
-5.913,-0.124,89.799
-5.838,0.107,89.998
-5.822,0.403,90.081
-6.04,0.577,90.189
-6.314,0.512,90.135
-6.354,0.311,90.11
-6.518,-0.078,90.183
-6.743,-0.518,90.086
-6.961,-1.049,89.993
-7.157,-1.784,89.932
-7.23,-2.202,90.001
-7.392,-2.586,89.99
-7.742,-3.073,89.875
-7.766,-3.45,89.879
-7.82,-3.746,89.661
-7.492,-3.884,89.671
-7.016,-3.834,89.602
-6.983,-3.834,89.602
-6.983,-3.834,89.602
-6.983,-3.834,89.602
-6.983,-3.834,89.352
-6.257,-1.584,89.496
-5.958,-0.45,89.523
-5.811,-0.086,89.598
-5.701,0.326,89.63
-5.623,0.658,89.77
-5.737,0.841,90.025
-6.087,0.995,90.361
-6.591,0.796,90.548
-6.659,0.476,90.334
-6.886,0.476,90.334
-6.962,-0.344,90.196
-7.034,-0.821,90.199
-7.087,-1.374,90.162
-7.119,-1.861,90.301
-7.128,-2.151,90.366
-7.011,-2.484,90.213
-6.833,-2.815,90.118
-6.712,-2.764,90.026
-6.7,-2.227,89.944
-6.966,-1.602,89.972
-7.232,-1.094,90.082
-7.553,-0.684,90.127
-7.892,-0.208,90.133
-8.296,0.224,90.05
-8.534,0.724,89.909
-8.539,1.076,89.72
-8.364,1.348,89.6
-8.071,1.568,89.528
-7.742,1.566,89.546
-7.693,1.356,89.421
-6.846,1.133,89.279
-6.165,0.825,89.378
-5.644,0.716,89.44
-4.996,0.63,89.735
-4.411,0.647,90.16
-3.999,0.67,90.343
-3.715,0.631,90.347
-3.474,0.416,90.609
-3.25,0.296,90.787
-3.265,0.687,90.77
-3.418,1.224,90.786
-3.488,1.52,90.662
-3.726,1.643,90.339
-3.988,1.761,90.093
-4.268,1.814,89.822
-4.767,2.142,89.688
-5.124,2.592,89.508
-5.275,3.014,89.476
-5.322,3.507,89.442
-5.323,3.871,89.293
-5.383,4.187,89.234
-5.351,4.395,89.215
-5.105,4.548,89.376
-4.848,4.445,89.244
-4.339,4.009,89.183
-3.917,3.455,89.185
-3.585,3.015,89.164
-3.166,2.878,89.391
-2.815,2.751,89.506
-2.509,2.614,89.522
-2.439,2.671,89.391
-1.774,2.487,89.468
-1.476,2.276,89.615
-1.024,1.877,89.927
-0.892,1.647,90.132
-1.46,1.8,90.284
-2.31,1.995,90.334
-2.85,2.012,90.473
-3.341,2.151,90.194
-3.978,2.359,89.834
-4.533,2.48,89.519
-5.065,2.559,89.222
-5.452,2.586,89.006
-5.794,2.644,89.062
-6.127,2.507,89.106
-6.128,2.137,89.14
-5.814,1.634,89.123
-5.406,1.37,89.185
-4.94,1.119,89.304
-4.589,0.791,89.338
-4.23,0.34,89.407
-3.793,-0.168,89.422
-3.398,-0.618,89.344
-3.277,-1.091,89.371
-3.258,-1.657,89.526
-3.06,-1.978,89.623
-2.78,-2.234,89.865
-2.608,-2.396,90.2
-2.274,-2.133,90.323
-2.084,-1.671,90.738
-2.241,-1.216,90.863
-2.429,-0.757,91.116
-2.587,-0.23,91.239
-2.633,0.475,91.287
-2.567,1.144,91.179
-2.7,1.594,91.029
-2.767,1.881,90.818
-2.888,2.161,90.794
-3.101,2.373,90.618
-3.34,2.387,90.598
-3.642,2.062,90.417
-3.679,1.66,90.362
-3.66,1.317,90.305
-3.758,0.949,89.949
-4.0,0.688,89.661
-4.388,0.583,89.636
-4.693,0.622,89.52
-4.931,0.78,89.304
-4.907,1.119,89.317
-4.816,1.221,89.225
-4.438,1.047,89.433
-4.051,1.286,89.348
-3.623,1.605,89.241
-3.623,1.989,89.048
-2.702,2.337,89.036
-1.911,2.554,88.965
-1.769,2.716,88.893
-0.894,2.925,88.678
-0.619,3.397,88.487
-0.515,3.916,88.419
-0.459,4.288,88.501
-0.248,4.468,88.45
0.136,4.396,88.498
0.599,4.315,88.52
0.932,4.215,88.72
1.186,3.991,89.002
1.48,3.464,89.024
1.743,2.852,89.057
